symbol,Mean_Return,Volatility,Momentum,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Prob,PCA1,PCA2
ADAUSDT,0.0020632999744044297,0.053697412981759125,0.003873497697065402,0,4,0,0,0.9735754869042316,-0.5271633867593243,-0.10280445630293586
ALGOUSDT,0.0008500179159276463,0.06039640276280562,-0.00449306461352657,4,1,0,0,0.8930355933186693,-0.9899290117148559,-0.9482569406975965
ANKRUSDT,0.0024072672456475655,0.065533210642652,7.716903996325218e-05,0,0,0,0,0.9996458055716673,0.5633273407059873,0.11220339190819756
ARDRUSDT,0.0023693443523359232,0.06398200514197037,0.000377835460992908,0,0,0,0,0.9994376974849252,0.42603181619618663,0.08862941331329295
ARPAUSDT,0.0023646440140368936,0.07155627509127205,6.835844197650097e-05,0,0,0,0,0.999868613117442,0.9496064144353648,0.07603604373719888
ATOMUSDT,0.0017353890506404354,0.057858750172369765,0.0009071765399350919,4,4,0,0,0.9865094622677995,-0.4882515024851485,-0.33504877922845105
BANDUSDT,0.0026479208020930714,0.07589308701798585,0.0015815534591194914,2,0,0,0,0.9999922901197419,1.468489914400437,0.26584275174244804
BATUSDT,0.0014278447266613098,0.05430866109677967,-0.00041524158757549656,4,4,0,0,0.9730608369040286,-0.9711853498726737,-0.5420505885156299
BCHUSDT,0.0018380660348735788,0.052880119107670605,2.4690323735155366,1,2,1,1,1.0,-2.208345790382363,3.106493871404105
BNBUSDT,0.0026160472664925427,0.046034934503102434,2.5618172197693503,1,2,1,1,1.0,-2.1404679448521544,3.7708480796379185
BNTUSDT,0.002122114503528633,0.058611819546828876,0.003223872326090617,0,4,0,0,0.9923306283990261,-0.1395751520240423,-0.06946485073362747
BTCUSDT,0.0016324853895999859,0.04391098977716121,2.5618172197693503,1,2,1,1,1.0,-3.0452454253330536,3.1036684272541257
CELRUSDT,0.0020008516164876033,0.07094673267285868,-6.42822522130316e-05,0,3,0,0,0.9984502093264904,0.6272813734875465,-0.17112468727834731
CHRUSDT,0.003244941601804069,0.07312404220403079,0.0005648402189265535,2,0,0,0,0.9999999418960118,1.7359163337588126,0.6742400828069729
CHZUSDT,0.0029771959731859986,0.06930375714328212,0.00024421086616635405,2,0,0,0,0.9999970718166532,1.2642238318738197,0.4960228572450093
COMPUSDT,0.0008279781883481772,0.05822853850425067,-0.17284098889229757,4,1,0,4,1.0,-1.0586418998050673,-1.1902687107610308
COSUSDT,0.0015695585548618205,0.07143284382495406,-0.00015841117266851345,0,3,0,0,0.9804572297824391,0.32921644175725684,-0.4654909649013159
COTIUSDT,0.00309123495039394,0.07285653468178047,0.00028923294197719964,2,0,0,0,0.9999997044658956,1.599165770519965,0.5695240996059328
CRVUSDT,0.001636479878318666,0.0746952984256832,-0.015448991424310226,0,3,0,4,0.9999999999998961,0.6167204040435796,-0.44464056242016997
CTSIUSDT,0.002844084683187388,0.0811639498923758,0.0002724807220469678,2,0,0,0,0.9999996878619987,1.986978693674517,0.3913803889851989
CVCUSDT,0.0030719276619020418,0.08000018163380798,0.00042142466901290486,2,0,0,0,0.9999999673829653,2.0812758976695784,0.5480973598868119
DASHUSDT,0.000721767672007549,0.0525743663861424,-0.17284098889229757,4,1,0,4,1.0,-1.533798095960625,-1.2558893697711868
DATAUSDT,0.0016279411537535636,0.06792256522507323,-0.00030420524852276676,0,3,0,0,0.9885827949801846,0.12999461693281655,-0.42178022261350645
DCRUSDT,0.0014335316218491857,0.05461856992890316,-0.00640253141167766,4,4,0,4,0.9887114086966604,-0.9417212516017154,-0.5467102571621363
DENTUSDT,0.002453007706778951,0.0713827352632821,2.0993681917211428e-06,2,0,0,0,0.9999263018365743,1.005579548563254,0.1363169844813859
DGBUSDT,0.0012535644527327877,0.060264594247869355,-0.00016583664094083067,4,4,0,0,0.9731887300295182,-0.6910586486015533,-0.6674299719717682
DIAUSDT,0.0014846894166964427,0.06825251220220382,-0.007447892156862743,0,3,0,4,0.9522560166421115,0.046903404082649085,-0.5294510726313297
DOGEUSDT,0.0032505572656438882,0.0819010381877543,0.0014456628640850426,2,0,0,0,0.9999999977561811,2.3504144774627376,0.6688694368872361
DOTUSDT,0.0015732648327593443,0.05506863961461077,-0.009471762838468713,4,4,0,4,0.9999995004200888,-0.8010540805735115,-0.45628613626601855
DUSKUSDT,0.0018442022326503097,0.07189917841164474,-0.0006701270278543004,0,3,0,0,0.9963976007961326,0.5733434333839472,-0.27973958784195346
EGLDUSDT,0.0014264660137451436,0.05560428571765277,0.03782266817410983,4,4,0,4,1.0,-0.9046046321971021,-0.49237957442767344
ENJUSDT,0.0015745692332255232,0.06322285425864496,-0.0004480696583076688,0,4,0,0,0.9862011480134464,-0.23799938783185584,-0.4527503739442007
ETCUSDT,0.0015465073982828662,0.054038093017052195,0.04668685748124755,4,4,0,4,1.0,-0.926406596289908,-0.3967019485017525
ETHUSDT,0.0018511753317422448,0.04445676865619341,2.5618172197693503,1,2,1,1,1.0,-2.8389566012698038,3.251925313922088
EURUSDT,0.0007131095016724939,0.04391098977716121,0.000387348898824309,3,1,0,3,0.9725422059870137,-2.245211102534401,-1.0152956134881461
FETUSDT,0.002937576286313276,0.07301098038744494,0.0030166652311225967,2,0,0,0,0.999998763397293,1.490043663679375,0.46843621728587753
FIOUSDT,0.0007410371572133849,0.06712634708734645,-0.0009467254901960776,4,1,0,0,0.8529300258812633,-0.6076303515447106,-1.0255954543082548
FTTUSDT,0.001938732010299506,0.06840600142073293,-0.010727817899436878,0,3,0,4,0.9999991968086813,0.4089661257229454,-0.22495359046785884
FUNUSDT,0.0025443706398744007,0.06654965591060437,7.028569872393405e-05,0,0,0,0,0.9998696656700394,0.7395758570788452,0.20434215424871938
HBARUSDT,0.003043073425655423,0.06907912118839594,0.0015118364153627313,2,0,0,0,0.9999989182807569,1.2985501696140365,0.5428727028464704
HIVEUSDT,0.0015291360663558789,0.06372307462060675,-0.0006938918159466092,4,4,0,0,0.9845269255809117,-0.23801737805468712,-0.484612943417403
